Chapter,Institution,Location,District,Charter Date,Status,Lat,Long
Mu Alpha,McKendree University,"Lebanon, Illinois",North Central,"May 6, 2007",Active,38.6039375,-89.8073195
Mu Beta,Florida Atlantic University,"Boca Raton, Florida",Southeast,"June 9, 2007",Active,26.3586885,-80.0830984
Mu Gamma,Houston Baptist University,"Houston, Texas",Southwest,"January 8, 2008",Inactive,29.7589382,-95.3676974
Mu Delta,Western Michigan University,"Kalamazoo, Michigan",North Central,"February 29, 2008",Active,42.291707,-85.5872286
Mu Epsilon,East Stroudsburg University of Pennsylvania,"East Stroudsburg, Pennsylvania",Northeast,"May 2, 2008",Active,40.9995386,-75.1812913
Mu Zeta,Diablo Valley College,"Pleasant Hill, California",Western,"May 11, 2008",Inactive,37.9479786,-122.0607963
Mu Eta,University of North Carolina at Chapel Hill,"Chapel Hill, North Carolina",Southeast,"September 6, 2008",Active,35.9131542,-79.05578
Mu Theta,Bethel University,"McKenzie, Tennessee",Southeast,"November 22, 2008",Inactive,36.1325617,-88.5186636
Mu Iota,Jacksonville State University,"Jacksonville, Alabama",Southeast,"March 1, 2009",Active,33.8137163,-85.7613476
Mu Kappa,Grand Valley State University,"Allendale, Michigan",North Central,"April 18, 2009",Active,42.9722455,-85.9536535
Mu Lambda,University of Mary Hardin–Baylor,"Belton, Texas",Southwest,"April 24, 2009",Active,31.0560132,-97.464453
Mu Mu,University of Central Oklahoma,"Edmond, Oklahoma",Southwest,"April 26, 2009",Probation,35.6571367,-97.4649038
Mu Nu,Christopher Newport University,"Newport News, Virginia",Northeast,"May 2, 2009",Active,36.9786449,-76.4321089
Mu Xi,Muhlenberg College,"Allentown, Pennsylvania",Northeast,"May 8, 2009",Active,40.6022059,-75.4712794
Mu Omicron,George Mason University,"Fairfax, Virginia",Northeast,"December 5, 2009",Active,38.8462236,-77.3063733
Mu Pi,University of Oregon,"Eugene, Oregon",Western,"February 14, 2010",Active,44.0505054,-123.0950506
Mu Rho,Benedict College,"Columbia, South Carolina",Southeast,"March 21, 2010",Active,34.0007493,-81.0343313
Mu Sigma,Lincoln University,"Chester County, Pennsylvania",Northeast,"April 3, 2010",Active,39.9829308,-75.7652424
Mu Tau,University of Texas at San Antonio,"San Antonio, Texas",Southwest,"April 24, 2010",Active,29.4246002,-98.4951405
Mu Upsilon,Florida Gulf Coast University,"Fort Myers, Florida",Southeast,"April 30, 2010",Active,26.640628,-81.8723084
Mu Phi,Fullerton College,"Fullerton, California",Western,"October 3, 2010",Active,33.8708215,-117.9294165
Mu Chi,University of Texas–Pan American,"Edinburg, Texas",Southwest,"November 20, 2010",Active,26.3013982,-98.1624501
Mu Psi,Texas College,"Tyler, Texas",Southwest,"February 19, 2011",Inactive,32.3512601,-95.3010624
Mu Omega,Huntingdon College,"Montgomery, Alabama",Southeast,"February 27, 2011",Active,32.3669656,-86.3006485
Nu Alpha,Georgia State University,"Atlanta, Georgia",Southeast,"November 28, 2011",Active,33.7490987,-84.3901849
Nu Beta,Texas Wesleyan University,"Fort Worth, Texas",Southwest,"March 4, 2012",Active,32.753177,-97.3327459
Nu Gamma,Robert Morris University,"Pittsburgh, Pennsylvania",Northeast,"August 14, 2012",Active,40.4416941,-79.9900861
Nu Delta,McMurry University,"Abilene, Texas",Southwest,"May 4, 2013",Active,32.4466741,-99.7333011
Nu Epsilon,Idaho State University,"Pocatello, Idaho",Western,"May 11, 2013",Active,42.8688613,-112.4401098
Nu Zeta,Edinboro University of Pennsylvania,"Edinboro, Pennsylvania",Northeast,"December 11, 2013",Active,41.8742225,-80.1317236
Nu Eta,Saint Augustine's University,"Raleigh, North Carolina",Southeast,"March 2, 2014",Active,35.7803977,-78.6390989
Nu Theta,Northeastern University,"Boston, Massachusetts",Northeast,"April 13, 2014",Active,42.3602534,-71.0582912
Nu Iota,Elizabeth City State University,"Elizabeth City, North Carolina",Southeast,"May 31, 2014",Active,36.2956836,-76.2247697
Nu Kappa,Georgia Southern University,"Statesboro, Georgia",Southeast,"October 19, 2014",Active,32.4490141,-81.7832912
Nu Lambda,Arkansas State University-Beebe,"Beebe, Arkansas",Southwest,"October 19, 2014",Probation,35.0706424,-91.8795856
Nu Mu,Kennesaw State University,"Kennesaw, GA",Southeast,"April 16, 2015",Active,34.0234337,-84.6154897
Nu Nu,University of Alabama,"Tuscaloosa, AL",Southeast,"April 21, 2015",Active,33.2095614,-87.5675258
Nu Xi,University of Illinois at Urbana-Champaign,"Urbana, Illinois",North Central,"March 15, 2016",Active,40.1117174,-88.207301
Nu Omicron,University of New Haven,"West Haven, Connecticut",Northeast,"April 27, 2016",Active,41.2706527,-72.9470471
Nu Pi,University of Illinois at Chicago,"Chicago, Illinois",North Central,"May 2, 2016",Active,41.8755616,-87.6244212
Nu Rho,Old Dominion University,"Norfolk, Virginia",Northeast,"April 21, 2017",Active,36.8462923,-76.2929252
Nu Sigma,"California State Polytechnic University, Pomona","Pomona, California",Western,"November 18, 2017",Active,34.0553813,-117.7517496
