Chapter,Institution,Location,District,Charter Date,Status,Lat,Long
Epsilon Pi,Kansas State University,"Manhattan, Kansas",Midwest,"April 4, 1970",Active,39.1836082,-96.5716694
Epsilon Rho,Grambling State University,"Grambling, Louisiana",Southwest,"April 7, 1970",Active,32.5276503,-92.7140403
Epsilon Sigma,"California State University, Sacramento","Sacramento, California",Western,"April 11, 1970",Inactive,38.5815719,-121.4943996
Epsilon Tau,Oral Roberts University,"Tulsa, Oklahoma",Southwest,"April 25, 1970",Inactive,36.1556805,-95.9929113
Epsilon Upsilon,University of Maine,"Orono, Maine",Northeast,"May 9, 1970",Active,44.883607,-68.672791
Epsilon Phi,Clarion University of Pennsylvania,"Clarion, Pennsylvania",Northeast,"May 16, 1970",Active,41.1818771,-79.429169
Epsilon Chi,University of Arkansas at Pine Bluff,"Pine Bluff, Arkansas",Southwest,"November 15, 1970",Active,34.2284312,-92.0031955
Epsilon Psi,Missouri State University,"Springfield, Missouri",Midwest,"November 21, 1970",Active,37.2166779,-93.2920373
Epsilon Omega,University of Nebraska–Lincoln,"Lincoln, Nebraska",Midwest,"February 5, 1971",Active,40.8,-96.667821
Zeta Alpha,Bloomsburg University of Pennsylvania,"Bloomsburg, Pennsylvania",Northeast,"February 14, 1971",Active,41.0041213,-76.453816
Zeta Beta,Howard Payne University,"Brownwood, Texas",Southwest,"February 27, 1971",Active,31.7070026,-98.9831022
Zeta Gamma,Texas Lutheran University,"Seguin, Texas",Southwest,"March 21, 1971",Active,29.5688411,-97.9647269
Zeta Delta,Southwest Baptist University,"Bolivar, Missouri",Midwest,"May 3, 1971",Inactive,37.6110502,-93.4107968
Zeta Epsilon,Michigan State University,"East Lansing, Michigan",North Central,"June 6, 1971",Active,42.7355416,-84.4852469
Zeta Zeta,University of Arkansas at Monticello,"Monticello, Arkansas",Southwest,"December 4, 1971",Active,33.6293427,-91.7912327
Zeta Eta,South Carolina State University,"Orangeburg, South Carolina",Southeast,"December 14, 1971",Active,33.4918203,-80.8556476
Zeta Theta,West Virginia University Institute of Technology,"Montgomery, West Virginia",Northeast,"April 16, 1972",Inactive,38.1803833,-81.3284452
Zeta Iota,Lane College,"Jackson, Tennessee",Southeast,"May 13, 1972",Inactive,35.6144446,-88.8177418
Zeta Kappa,Texas A&M University–Commerce,"Commerce, Texas",Southwest,"November 19, 1972",Active,33.2470567,-95.8999656
Zeta Lambda,Marshall University,"Huntington, West Virginia",North Central,"December 3, 1972",Active,38.4192496,-82.445154
Zeta Mu,Kutztown University of Pennsylvania,"Kutztown, Pennsylvania",Northeast,"January 20, 1973",Inactive,40.5173165,-75.7774177
Zeta Nu,Southern University,"Baton Rouge, Louisiana",Southwest,"May 12, 1973",Inactive,30.4459596,-91.18738
Zeta Xi,Tyler Junior College,"Tyler, Texas",Southwest,"May 5, 1973",Active,32.3512601,-95.3010624
Zeta Omicron,University of Akron,"Akron, Ohio",North Central,"May 27, 1973",Active,41.083064,-81.518485
Zeta Pi,Tennessee State University,"Nashville, Tennessee",Southeast,"June 10, 1973",Inactive,36.1622296,-86.7743531
Zeta Rho,Modesto Junior College,"Modesto, California",Western,"June 17, 1973",Inactive,37.6390972,-120.9968782
Zeta Sigma,North Carolina Central University,"Durham, North Carolina",Southeast,"February 9, 1974",Active,36.0181316,-78.8751582
Zeta Tau,Cameron University,"Lawton, Oklahoma",Southwest,"May 10, 1974",Active,34.6086854,-98.3903305
Zeta Upsilon,Troy University,"Troy, Alabama",Southeast,"May 18, 1974",Active,31.8087678,-85.969951
Zeta Phi,Tuskegee University,"Tuskegee, Alabama",Southeast,"November 2, 1974",Active,32.4240286,-85.6916195
Zeta Chi,University of South Carolina,"Columbia, South Carolina",Southeast,"November 24, 1974",Active,34.0007493,-81.0343313
Zeta Psi,Virginia State University,"Petersburg, Virginia",Northeast,"February 1, 1975",Active,37.1924594,-77.3677408
Zeta Omega,Weber State University,"Ogden, Utah",Western,"May 29, 1975",Inactive,41.2230048,-111.9738429
Eta Alpha,Lock Haven University of Pennsylvania,"Lock Haven, Pennsylvania",Northeast,"October 19, 1975",Active,41.1369077,-77.4471641
Eta Beta,Virginia Polytechnic Institute and State University,"Blackburg, Virginia",Northeast,"April 3, 1976",Active,37.4940045,-81.2637115
Eta Gamma,Morgan State University,"Baltimore, Maryland",Northeast,"April 24, 1976",Active,39.2908816,-76.610759
Eta Delta,Eastern Illinois University,"Charleston, Illinois",North Central,"December 13, 1976",Active,39.4961458,-88.1761521
Eta Epsilon,Illinois State University,"Normal, Illinois",North Central,"April 16, 1977",Inactive,40.5117699,-88.9944815
Eta Zeta,University of Kansas,"Lawrence, Kansas",Midwest,"May 7, 1977",Active,38.9719384,-95.2359496
Eta Eta,Jackson State University,"Jackson, Mississippi",Southeast,"October 28, 1977",Inactive,32.2990384,-90.1847691
Eta Theta,Nicholls State University,"Thibodaux, Louisiana",Southwest,"April 9, 1978",Inactive,29.7957633,-90.822871
Eta Iota,Bethune-Cookman University,"Daytona Beach, Florida",Southeast,"February 18, 1978",Inactive,29.2108147,-81.0228331
Eta Kappa,Albany State University,"Albany, Georgia",Southeast,"May 20, 1978",Active,31.5782062,-84.1556809
Eta Lambda,Carson–Newman College,"Jefferson City, Tennessee",Southeast,"October 7, 1978",Inactive,36.122311,-83.4923961
Eta Mu,San Diego State University,"San Diego, California",Western,"December 16, 1978",Inactive,32.7174209,-117.1627714
Eta Nu,Southeastern Oklahoma State University,"Durant, Oklahoma",Southwest,"February 17, 1979",Active,33.9958945,-96.3814259
Eta Xi,Louisiana Tech University,"Ruston, Louisiana",Southwest,"March 15, 1980",Active,32.5232053,-92.637927
Eta Omicron,James Madison University,"Harrisonburg, Virginia",Northeast,"November 9, 1980",Active,38.4493315,-78.8688833
Eta Pi,University of Northern Iowa,"Cedar Falls, Iowa",Midwest,"October 3, 1981",Active,42.5274123,-92.4453179
Eta Rho,West Chester University of Pennsylvania,"West Chester, Pennsylvania",Northeast,"November 22, 1981",Active,39.9597213,-75.6059638
Eta Sigma,University of Central Florida,"Orlando, Florida",Southeast,"April 23, 1982",Active,28.5421097,-81.3790388
Eta Tau,Allegheny College,"Meadville, Pennsylvania",Northeast,"April 25, 1982",Inactive,41.641445,-80.151449
Eta Upsilon,University of Missouri,"Columbia, Missouri",Midwest,"May 1, 1982",Active,38.951883,-92.3337366
Eta Phi,Syracuse University,"Syracuse, New York",Northeast,"December 4, 1982",Active,43.0481221,-76.1474244
Eta Chi,Bowie State University,"Bowie, Maryland",Northeast,"May 1, 1983",Active,38.9429659,-76.731234
Eta Psi,Delaware State University,"Dover, Delaware",Northeast,"May 8, 1983",Inactive,39.158168,-75.5243682
Eta Omega,Howard University,"Washington, D.C.",Northeast,"February 4, 1984",Active,38.8950092,-77.0365625
Theta Alpha,Texas State University,"San Marcos, Texas",Southwest,"February 19, 1984",Active,29.8826436,-97.9405828
Theta Beta,Boston University,"Boston, Massachusetts",Northeast,"March 29, 1984",Active,42.36,-71.07
Theta Gamma,California University of Pennsylvania,"California, Pennsylvania",Northeast,"May 11, 1984",Active,40.0657724,-79.8918436
Theta Delta,Central State University,"Wilberforce, Ohio",North Central,"June 1, 1984",Inactive,39.7173,-83.8854792575566
Theta Epsilon,University of Kentucky,"Lexington, Kentucky",North Central,"October 6, 1984",Active,38.0464066,-84.4970393
Theta Zeta,Ashland University,"Ashland, Ohio",North Central,"February 2, 1985",Active,40.7887367,-82.2360391
Theta Eta,University of Louisville,"Louisville, Kentucky",North Central,"June 20, 1985",Inactive,38.2542376,-85.759407
Theta Theta,University of Alabama at Birmingham,"Birmingham, Alabama",Southeast,"February 21, 1986",Active,33.5206824,-86.8024326
Theta Iota,Baker University,"Baldwin City, Kansas",Midwest,"March 2, 1986",Inactive,38.775007,-95.1863603
Theta Kappa,Tarleton State University,"Stephenville, Texas",Southwest,"March 13, 1986",Probation,32.2191836,-98.2130634
Theta Lambda,University of Memphis,"Memphis, Tennessee",Southeast,"October 19, 1986",Probation,35.1490215,-90.0516285
Theta Mu,Johnson C. Smith University,"Charlotte, North Carolina",Southeast,"October 19, 1986",Inactive,35.2270869,-80.8431268
Theta Nu,Northwestern State University,"Natchitoches, Louisiana",Southwest,"November 21, 1986",Active,31.7606732,-93.0860209
Theta Xi,Southern Connecticut State University,"New Haven, Connecticut",Northeast,"April 10, 1987",Inactive,41.3082138,-72.9250518
Theta Omicron,Georgia Southwestern State University,"Americus, Georgia",Southeast,"May 3, 1987",Inactive,32.0723862,-84.2326876
Theta Pi,Brigham Young University,"Provo, Utah",Western,"May 22, 1987",Inactive,40.2338438,-111.6585337
Theta Rho,Lincoln University of Missouri,"Jefferson City, Missouri",Midwest,"December 3, 1987",Active,38.577359,-92.1724265
Theta Sigma,Fairmont State University,"Fairmont, West Virginia",Northeast,"December 4, 1987",Active,39.4850848,-80.1425781
Theta Tau,Fayetteville State University,"Fayetteville, North Carolina",Southeast,"February 6, 1988",Active,35.0525759,-78.878292
Theta Upsilon,University of Rhode Island,"Kingston, Rhode Island",Northeast,"February 21, 1988",Active,41.4803791,-71.5225598
Theta Phi,Henderson State University,"Arkadelphia, Arkansas",Southwest,"March 8, 1988",Active,34.1209292,-93.053784
Theta Chi,Livingstone College,"Salisbury, North Carolina",Southeast,"April 22, 1988",Inactive,35.6709727,-80.4742261
Theta Psi,Virginia Union University,"Richmond, Virginia",Northeast,"April 25, 1988",Inactive,37.5385087,-77.43428
Theta Omega,University of North Alabama,"Florence, Alabama",Southeast,"April 29, 1988",Inactive,34.79981,-87.677251
Iota Alpha,"California State University, Fresno","Fresno, California",Western,"April 30, 1988",Investigative Hold,36.7295295,-119.708861260756
Iota Beta,Alcorn State University,"Lorman, Mississippi",Southeast,"February 4, 1989",Active,31.8204396,-91.0501057
Iota Gamma,Washington State University,"Pullman, Washington",Western,"April 1, 1989",Active,46.7304268,-117.173895
Iota Delta,Towson University,"Towson, Maryland",Northeast,"April 8, 1989",Active,39.4018552,-76.602388
Iota Epsilon,University of the Cumberlands,"Williamsburg, Kentucky",North Central,"February 25, 1990",Inactive,36.7434169,-84.1596561
Iota Zeta,North Carolina Agricultural and Technical State University,"Greensboro, North Carolina",Southeast,"February 24, 1990",Active,36.0726355,-79.7919754
Iota Eta,Waynesburg University,"Waynesburg, Pennsylvania",Northeast,"March 30, 1990",Inactive,39.8964641,-80.1792299
Iota Theta,Morehouse College,"Atlanta, Georgia",Southeast,"April 7, 1990",Inactive,33.7490987,-84.3901849
Iota Iota,Utah State University,"Logan, Utah",Western,"April 13, 1990",Active,41.7313447,-111.8348631
Iota Kappa,Boise State University,"Boise, Idaho",Western,"April 14, 1990",Active,43.61656,-116.200835
Iota Lambda,University of Mount Union,"Alliance, Ohio",North Central,"May 2, 1990",Active,40.9153362,-81.1059309
Iota Mu,Kentucky State University,"Frankfort, Kentucky",North Central,"May 6, 1990",Active,38.2009055,-84.8732836
Iota Nu,Alabama Agricultural and Mechanical University,"Normal, Alabama",Southeast,"October 21, 1990",Active,34.7889792,-86.5719369
Iota Xi,Norfolk State University,"Norfolk, Virginia",Northeast,"March 14, 1991",Active,36.8462923,-76.2929252
Iota Omicron,Appalachian State University,"Boone, North Carolina",Southeast,"September 29, 1991",Active,36.216795,-81.6745517
Iota Pi,California Polytechnic State University,"San Luis Obispo, California",Western,"April 5, 1992",Active,35.2827525,-120.6596156
Iota Rho,Morris Brown College,"Atlanta, Georgia",Southeast,"May 9, 1992",Inactive,33.7490987,-84.3901849
Iota Sigma,Blinn College,"Brenham, Texas",Southwest,"June 11, 1992",Active,30.1668828,-96.3977442
Iota Tau,Clark Atlanta University,"Atlanta, Georgia",Southeast,"February 7, 1993",Active,33.7490987,-84.3901849
